Institude ID,Name,Rank_2021,Rank_2022,Rank_2023,Rank_2024
IR-E-U-0456,Indian Institute of Technology Madras,1,1,1,1
IR-E-I-1074,Indian Institute of Technology Delhi,2,2,2,2
IR-E-U-0306,Indian Institute of Technology Bombay,3,3,3,3
IR-E-I-1075,Indian Institute of Technology Kanpur,4,4,4,4
IR-E-U-0573,Indian Institute of Technology Kharagpur,5,5,6,5
IR-E-U-0560,Indian Institute of Technology Roorkee,6,6,5,6
IR-E-U-0053,Indian Institute of Technology Guwahati,7,7,7,7
IR-E-U-0013,Indian Institute of Technology Hyderabad,8,9,8,8
IR-E-U-0467,National Institute of Technology Tiruchirappalli,9,8,9,9
IR-E-U-0237,National Institute of Technology Karnataka,10,10,12,17
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),11,14,17,15
IR-E-U-0490,Vellore Institute of Technology,12,12,11,11
IR-E-U-0273,Indian Institute of Technology Indore,13,16,14,16
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,14,13,15,10
IR-E-U-0308,Institute of Chemical Technology,15,18,24,41
IR-E-U-0436,Amrita Vishwa Vidyapeetham,16,19,19,23
IR-E-U-0575,Jadavpur University,17,11,10,12
IR-E-U-0439,Anna University,18,17,13,14
IR-E-U-0378,Indian Institute of Technology Ropar,19,22,22,22
IR-E-U-0357,National Institute of Technology Rourkela,20,15,16,19
IR-E-U-0064,Indian Institute of Technology Patna,21,33,41,34
IR-E-U-0139,Indian Institute of Technology Gandhinagar,22,23,18,18
IR-E-U-0025,National Institute of Technology Warangal,23,21,21,21
IR-E-I-1480,Thapar Institute of Engineering and Technology,23,28,20,29
IR-E-U-0263,National Institute of Technology Calicut,25,31,23,25
IR-E-U-0391,Birla Institute of Technology & Science -Pilani,26,29,25,20
IR-E-U-0584,Indian Institute of Engineering Science and Technology,27,40,35,49
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,28,36,47,54
IR-E-U-0577,National Institute of Technology Durgapur,29,34,43,44
IR-E-U-0334,Visvesvaraya National Institute of Technology,30,32,41,39
